route_id,origin,destination,total_passengers,weight
CHANDIGARH-KOLKATA,CHANDIGARH,KOLKATA,77255.0,0.000786
CHENNAI-VARANASI,CHENNAI,VARANASI,77000.0,0.000783
CHANDIGARH-CHENNAI,CHANDIGARH,CHENNAI,76865.0,0.000782
DURGAPUR-HYDERABAD,DURGAPUR,HYDERABAD,76821.0,0.000781
GHAZIABAD-MUMBAI,GHAZIABAD,MUMBAI,75410.0,0.000767
HYDERABAD-PORT BLAIR,HYDERABAD,PORT BLAIR,75395.0,0.000767
DELHI-SHIRDI,DELHI,SHIRDI,75026.0,0.000763
HYDERABAD-SRINAGAR,HYDERABAD,SRINAGAR,74909.0,0.000762
JORHAT-KOLKATA,JORHAT,KOLKATA,74264.0,0.000755
PUNE-RANCHI,PUNE,RANCHI,73983.0,0.000752
GOA-NAGPUR,GOA,NAGPUR,73313.0,0.000745
KANPUR-MUMBAI,KANPUR,MUMBAI,73303.0,0.000745
DELHI-KOZHIKODE,DELHI,KOZHIKODE,73093.0,0.000743
CHENNAI-SHIRDI,CHENNAI,SHIRDI,72587.0,0.000738
AYODHYA-MUMBAI,AYODHYA,MUMBAI,72249.0,0.000735
CHANDIGARH-JAIPUR,CHANDIGARH,JAIPUR,72233.0,0.000734
MUMBAI-VISHAKHAPATNAM,MUMBAI,VISHAKHAPATNAM,72071.0,0.000733
COIMBATORE-PUNE,COIMBATORE,PUNE,71748.0,0.00073
AIZAWL-KOLKATA,AIZAWL,KOLKATA,71722.0,0.000729
AGRA-BENGALURU,AGRA,BENGALURU,71041.0,0.000722
AHMEDABAD-INDORE,AHMEDABAD,INDORE,70910.0,0.000721
CHENNAI-PATNA,CHENNAI,PATNA,70470.0,0.000717
AHMEDABAD-BAGDOGRA,AHMEDABAD,BAGDOGRA,70499.0,0.000717
DELHI-DIMAPUR,DELHI,DIMAPUR,70236.0,0.000714
AHMEDABAD-PATNA,AHMEDABAD,PATNA,70015.0,0.000712
DELHI-DURGAPUR,DELHI,DURGAPUR,69904.0,0.000711
HYDERABAD-VADODARA,HYDERABAD,VADODARA,69913.0,0.000711
INDORE-KOLKATA,INDORE,KOLKATA,69390.0,0.000706
DELHI-ITANAGAR,DELHI,ITANAGAR,69470.0,0.000706
BENGALURU-JHARSUGUDA,BENGALURU,JHARSUGUDA,69082.0,0.000702
AIZAWL-GUWAHATI,AIZAWL,GUWAHATI,68975.0,0.000701
AMRITSAR-PUNE,AMRITSAR,PUNE,68756.0,0.000699
CHENNAI-INDORE,CHENNAI,INDORE,68602.0,0.000698
HYDERABAD-KOZHIKODE,HYDERABAD,KOZHIKODE,68457.0,0.000696
CHENNAI-RANCHI,CHENNAI,RANCHI,67930.0,0.000691
BAGDOGRA-DIBRUGARH,BAGDOGRA,DIBRUGARH,67934.0,0.000691
AMRITSAR-BENGALURU,AMRITSAR,BENGALURU,67833.0,0.00069
BHUBANESWAR-GUWAHATI,BHUBANESWAR,GUWAHATI,67478.0,0.000686
DELHI-MADURAI,DELHI,MADURAI,67430.0,0.000686
BENGALURU-DURGAPUR,BENGALURU,DURGAPUR,67329.0,0.000685
DELHI-JAISALMER,DELHI,JAISALMER,66797.0,0.000679
DELHI-KANPUR,DELHI,KANPUR,66680.0,0.000678
AHMEDABAD-GUWAHATI,AHMEDABAD,GUWAHATI,66585.0,0.000677
INDORE-RAIPUR,INDORE,RAIPUR,66378.0,0.000675
ADAMPUR-MUMBAI,ADAMPUR,MUMBAI,66406.0,0.000675
AHMEDABAD-RAIPUR,AHMEDABAD,RAIPUR,66169.0,0.000673
DEHRADUN-HYDERABAD,DEHRADUN,HYDERABAD,66107.0,0.000672
BHUJ-DELHI,BHUJ,DELHI,65958.0,0.000671
HYDERABAD-PURNEA,HYDERABAD,PURNEA,66032.0,0.000671
AHMEDABAD-BHUBANESWAR,AHMEDABAD,BHUBANESWAR,65656.0,0.000668
AHMEDABAD-KOCHI,AHMEDABAD,KOCHI,65640.0,0.000667
HYDERABAD-TIRUCHIRAPPALLI,HYDERABAD,TIRUCHIRAPPALLI,65283.0,0.000664
HYDERABAD-NAGPUR,HYDERABAD,NAGPUR,65150.0,0.000662
BENGALURU-DEOGHAR,BENGALURU,DEOGHAR,64215.0,0.000653
BENGALURU-HUBLI,BENGALURU,HUBLI,64165.0,0.000652
BHUBANESWAR-PUNE,BHUBANESWAR,PUNE,63896.0,0.00065
MUMBAI-TIRUPATI,MUMBAI,TIRUPATI,63759.0,0.000648
GOA-LUCKNOW,GOA,LUCKNOW,63736.0,0.000648
BENGALURU-HIRASAR,BENGALURU,HIRASAR,63674.0,0.000647
GUWAHATI-PUNE,GUWAHATI,PUNE,63605.0,0.000647
AMRITSAR-SRINAGAR,AMRITSAR,SRINAGAR,63318.0,0.000644
GOA-KOCHI,GOA,KOCHI,63187.0,0.000643
DELHI-HUBLI,DELHI,HUBLI,63182.0,0.000642
HYDERABAD-JODHPUR,HYDERABAD,JODHPUR,63120.0,0.000642
JAIPUR-SURAT,JAIPUR,SURAT,62962.0,0.00064
GWALIOR-MUMBAI,GWALIOR,MUMBAI,62877.0,0.000639
DIMAPUR-KOLKATA,DIMAPUR,KOLKATA,62680.0,0.000637
AHMEDABAD-SRINAGAR,AHMEDABAD,SRINAGAR,62425.0,0.000635
BENGALURU-NASHIK,BENGALURU,NASHIK,62213.0,0.000633
BHOPAL-PUNE,BHOPAL,PUNE,62068.0,0.000631
DELHI-PURNEA,DELHI,PURNEA,61716.0,0.000628
HYDERABAD-SURAT,HYDERABAD,SURAT,61670.0,0.000627
AHMEDABAD-RANCHI,AHMEDABAD,RANCHI,61699.0,0.000627
VIJAYWADA-VISHAKHAPATNAM,VIJAYWADA,VISHAKHAPATNAM,61444.0,0.000625
ALLAHABAD-DELHI,ALLAHABAD,DELHI,61346.0,0.000624
CHANDIGARH-INDORE,CHANDIGARH,INDORE,61247.0,0.000623
BENGALURU-KANNUR,BENGALURU,KANNUR,60281.0,0.000613
CHANDIGARH-LUCKNOW,CHANDIGARH,LUCKNOW,60171.0,0.000612
DELHI-KANNUR,DELHI,KANNUR,59957.0,0.00061
JABALPUR-MUMBAI,JABALPUR,MUMBAI,59356.0,0.000604
BELGAUM-DELHI,BELGAUM,DELHI,59437.0,0.000604
PUNE-RAIPUR,PUNE,RAIPUR,59025.0,0.0006
KOLKATA-VISHAKHAPATNAM,KOLKATA,VISHAKHAPATNAM,58936.0,0.000599
AGATTI ISLAND-KOCHI,AGATTI ISLAND,KOCHI,58722.0,0.000597
BENGALURU-VADODARA,BENGALURU,VADODARA,58000.0,0.00059
KANNUR-MUMBAI,KANNUR,MUMBAI,57905.0,0.000589
BENGALURU-JABALPUR,BENGALURU,JABALPUR,57619.0,0.000586
KOLHAPUR-MUMBAI,KOLHAPUR,MUMBAI,56352.0,0.000573
HYDERABAD-MANGALORE,HYDERABAD,MANGALORE,55975.0,0.000569
ITANAGAR-KOLKATA,ITANAGAR,KOLKATA,55276.0,0.000562
